date,product,region,quantity,unit_price,cost
2024-01-01,Laptop,North,12,55000,480000
2024-02-01,Phone,South,25,30000,560000
2024-03-01,Tablet,East,18,22000,300000
2024-04-01,Laptop,West,14,55000,560000
2024-05-01,Phone,North,30,30000,690000
2024-06-01,Tablet,South,20,22000,340000
2024-07-01,Laptop,East,16,55000,640000
2024-08-01,Phone,West,28,30000,630000
2024-09-01,Tablet,North,24,22000,420000
2024-10-01,Laptop,South,18,55000,720000
2024-11-01,Phone,East,32,30000,750000
2024-12-01,Tablet,West,26,22000,470000
2025-01-01,Laptop,North,20,55000,810000
2025-02-01,Phone,South,35,30000,830000
2025-03-01,Tablet,East,28,22000,500000
2025-04-01,Laptop,West,22,55000,880000
2025-05-01,Phone,North,40,30000,940000
2025-06-01,Tablet,South,30,22000,550000
2025-07-01,Laptop,East,25,55000,1000000
2025-08-01,Phone,West,42,30000,990000
2025-09-01,Tablet,North,34,22000,620000
2025-10-01,Laptop,South,27,55000,1080000
2025-11-01,Phone,East,45,30000,1050000
2025-12-01,Tablet,West,38,22000,700000
